                           ResPrimMaxDecayType = 3 |                            ResPrimMaxDecayType = 4 |                            ResPrimMaxDecayType = 6 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.171483 +- 0.270403 (3.583612%)  |          Lambda: 1.130954 +- 0.264380 (0.000000%)  |         Lambda: 1.121016 +- 0.273959 (-0.878727%)  | 
         Radius: 6.058396 +- 0.754141 (0.161591%)  |          Radius: 6.048622 +- 0.735207 (0.000000%)  |         Radius: 6.042751 +- 0.818453 (-0.097063%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.171483 +- 0.270403 (3.583612%)  |          Lambda: 1.130954 +- 0.264380 (0.000000%)  |         Lambda: 1.121016 +- 0.273959 (-0.878727%)  | 
         Radius: 6.058396 +- 0.754141 (0.161591%)  |          Radius: 6.048622 +- 0.735207 (0.000000%)  |         Radius: 6.042751 +- 0.818453 (-0.097063%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.824730 +- 0.178419 (3.514365%)  |          Lambda: 0.796730 +- 0.174298 (0.000000%)  |         Lambda: 0.790213 +- 0.175498 (-0.817968%)  | 
         Radius: 4.492818 +- 0.491352 (0.138881%)  |          Radius: 4.486587 +- 0.486185 (0.000000%)  |         Radius: 4.483589 +- 0.512688 (-0.066821%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.824730 +- 0.178419 (3.514365%)  |          Lambda: 0.796730 +- 0.174298 (0.000000%)  |         Lambda: 0.790213 +- 0.175498 (-0.817968%)  | 
         Radius: 4.492818 +- 0.491352 (0.138881%)  |          Radius: 4.486587 +- 0.486185 (0.000000%)  |         Radius: 4.483589 +- 0.512688 (-0.066821%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
