                        minAvgSepPosPos = 5.000000 |                         minAvgSepPosPos = 6.000000 |                         minAvgSepPosPos = 7.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.374194 +- 0.249302 (-0.239408%)  |          Lambda: 0.375092 +- 0.248824 (0.000000%)  |          Lambda: 0.379711 +- 0.255780 (1.231431%)  | 
         Radius: 3.917738 +- 1.007737 (0.083664%)  |          Radius: 3.914463 +- 0.998503 (0.000000%)  |          Radius: 3.919940 +- 1.016741 (0.139917%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.263821 +- 0.183982 (-0.281970%)  |          Lambda: 0.264567 +- 0.183663 (0.000000%)  |          Lambda: 0.266475 +- 0.188536 (0.721178%)  | 
         Radius: 3.917738 +- 1.007737 (0.083664%)  |          Radius: 3.914463 +- 0.998503 (0.000000%)  |          Radius: 3.919940 +- 1.016741 (0.139917%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.157643 +- 0.049121 (-0.593376%)  |          Lambda: 0.158584 +- 0.049337 (0.000000%)  |          Lambda: 0.159355 +- 0.050822 (0.486178%)  | 
         Radius: 2.000000 +- 0.387758 (0.000000%)  |          Radius: 2.000000 +- 0.387591 (0.000000%)  |          Radius: 2.000000 +- 0.381099 (0.000000%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.158107 +- 0.049326 (-0.619763%)  |          Lambda: 0.159093 +- 0.049574 (0.000000%)  |          Lambda: 0.161085 +- 0.051495 (1.252098%)  | 
         Radius: 2.000000 +- 0.387758 (0.000000%)  |          Radius: 2.000000 +- 0.387591 (0.000000%)  |          Radius: 2.000000 +- 0.381099 (0.000000%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.628404 +- 0.601339 (-0.276602%)  |          Lambda: 0.630147 +- 0.601811 (0.000000%)  |          Lambda: 0.653723 +- 0.619782 (3.741349%)  | 
         Radius: 3.287299 +- 1.038959 (0.140983%)  |          Radius: 3.282671 +- 1.030700 (0.000000%)  |          Radius: 3.333108 +- 1.054802 (1.536462%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.232127 +- 0.189497 (0.046548%)  |          Lambda: 0.232019 +- 0.188612 (0.000000%)  |          Lambda: 0.244182 +- 0.199028 (5.242243%)  | 
         Radius: 3.287299 +- 1.038959 (0.140983%)  |          Radius: 3.282671 +- 1.030700 (0.000000%)  |          Radius: 3.333108 +- 1.054802 (1.536462%)  | 
          Ref0: -0.205714 +- 0.207419 (1.706194%)  |          Ref0: -0.202263 +- 0.203546 (-0.000000%)  |          Ref0: -0.196913 +- 0.203821 (-2.645071%)  | 
          Imf0: 0.441258 +- 0.121636 (-0.304109%)  |            Imf0: 0.442604 +- 0.125008 (0.000000%)  |           Imf0: 0.440912 +- 0.127852 (-0.382283%)  | 
            d0: 3.025468 +- 1.308443 (-0.863615%)  |              d0: 3.051824 +- 1.334519 (0.000000%)  |              d0: 3.085380 +- 1.368056 (1.099539%)  | 
                                                   |                                                    |                                                    | 
